*WEATHER DATA: GGCMI

@ INSI      LAT     LONG  ELEV   TAV   AMP REFHT WNDHT
 GGCMI    -9.25    34.75   -99  22.2  13.8
@DATE  SRAD  TMIN  TMAX  RAIN
16017  21.5  15.5  25.4   0.7
16018  19.6  16.2  25.6   5.0
16019  18.7  16.6  24.7   6.9
16020  19.2  16.0  24.8   6.4
16021  19.0  16.6  25.2  20.6
16022  19.7  16.8  24.5  11.0
16023  15.6  17.0  24.4  12.7
16024  20.7  16.1  26.0   2.5
16025  18.6  16.7  25.3  13.8
16026  20.8  16.8  26.1   8.0
16027  19.4  15.8  24.6   5.6
16028  16.8  16.5  25.8   5.4
16029  14.0  17.3  25.5   6.5
16030  16.3  16.9  25.8   0.1
16031  17.7  17.2  27.8   5.8
16032  20.2  16.8  26.2   0.8
16033  14.9  16.7  25.9  22.3
16034   9.7  14.9  21.3  15.7
16035  22.4  14.7  24.8   0.0
16036  21.2  16.5  24.3   8.0
16037  21.5  16.0  25.0   6.7
16038  22.5  15.3  25.6   0.1
16039  22.8  16.1  25.6   4.4
16040  19.2  16.5  29.0   8.6
16041  21.2  16.2  25.9   4.6
16042  21.9  17.2  26.8   4.5
16043  15.1  17.8  25.7  19.7
16044  15.9  17.7  24.7  23.4
16045  16.2  17.1  24.2  12.0
16046  19.4  16.4  25.5   4.3
16047  16.8  16.7  25.1   8.4
16048  14.2  17.2  23.9  14.2
16049  15.7  17.4  24.6  11.4
16050  14.9  16.8  25.6  15.2
16051  18.5  17.4  25.4   3.9
16052  21.9  15.7  26.6   9.3
16053  22.6  16.6  25.3  15.6
16054  18.7  16.8  24.9  12.4
16055  18.1  16.7  28.8   5.3
16056  20.9  17.2  28.3   8.6
16057  23.9  16.0  26.8   0.0
16058  12.2  17.1  25.2  23.8
16059  14.1  17.3  23.5  14.1
16060  14.6  16.9  23.9   9.6
16061  14.2  16.5  25.1   8.9
16062  22.1  15.8  26.6  11.2
16063  16.7  16.5  24.5   6.3
16064  17.4  16.2  24.0  14.6
16065  11.9  17.0  23.7  23.1
16066  13.9  16.2  23.7  14.7
16067  14.2  16.2  23.7  13.5
16068  17.5  15.8  25.6  12.6
16069  21.4  16.0  25.4  20.5
16070  21.2  16.1  25.2  11.9
16071  19.4  16.3  25.6   0.0
16072  21.1  15.1  28.9   0.6
16073  21.7  15.4  25.1   3.0
16074  20.7  16.4  24.7  10.0
16075  20.9  15.7  24.7   8.8
16076  14.2  16.4  22.6  16.9
16077  22.0  15.2  25.7  11.5
16078  18.1  16.0  24.3  10.9
16079  16.6  16.6  24.6  10.5
16080  21.0  16.2  24.8   5.3
16081   6.0  16.6  21.0  23.8
16082  14.7  16.2  25.0   7.5
16083  22.1  15.1  24.9   1.8
16084  18.5  15.6  24.9   3.0
16085  16.6  17.2  24.5   6.8
16086  14.6  17.1  23.8  16.0
16087  11.5  16.9  22.9  14.4
16088  21.0  16.3  25.0   8.9
16089  16.9  16.0  25.3   0.0
16090  19.2  15.1  25.3   0.7
16091  14.7  16.3  23.8  14.4
16092  12.4  16.3  23.8   7.7
16093  17.1  15.8  25.1   2.3
